Date,Open,High,Low,Close,Volume
04/04/2022,"166.98","173.24","156.51","170.73","4,640,077"
04/01/2022,"188.90","189.77","155.26","165.00","13,189,560"
03/31/2022,"163.10","175.75","158.51","166.58","11,242,230"
03/30/2022,"175.00","183.34","165.00","166.85","9,169,186"
03/29/2022,"188.24","199.41","163.00","179.90","18,011,490"
03/28/2022,"151.98","190.84","151.55","189.59","16,316,520"
03/25/2022,"140.04","158.16","138.20","151.95","13,383,870"
03/24/2022,"134.02","143.48","126.76","142.39","9,100,150"
03/23/2022,"130.00","150.93","126.55","141.00","24,599,840"
03/22/2022,"95.40","125.79","94.45","123.14","15,017,230"
03/21/2022,"90.00","99.40","89.76","94.20","3,953,112"
03/18/2022,"79.74","97.45","78.90","90.79","8,922,094"
03/17/2022,"85.10","89.58","83.45","87.70","3,449,120"
03/16/2022,"85.11","90.01","82.00","86.86","2,653,928"
03/15/2022,"82.10","87.56","78.68","82.64","3,528,798"
03/14/2022,"93.43","94.32","77.58","78.11","4,533,614"
03/11/2022,"102.66","102.90","92.69","92.69","2,205,538"
03/10/2022,"103.92","104.06","98.25","100.56","1,395,467"
03/09/2022,"106.98","108.86","103.50","105.21","1,399,597"
03/08/2022,"101.03","108.99","97.09","103.01","2,134,029"
03/07/2022,"115.00","115.00","96.10","99.35","3,147,865"
03/04/2022,"118.01","120.51","110.58","111.66","1,480,013"
03/03/2022,"122.96","123.74","117.23","118.41","1,095,602"
03/02/2022,"119.50","122.67","116.37","121.97","1,310,650"
03/01/2022,"122.19","125.87","118.35","119.02","1,096,021"
02/28/2022,"121.00","126.29","116.89","123.34","1,614,497"
02/25/2022,"123.57","124.97","116.49","118.58","1,710,255"
02/24/2022,"105.53","125.71","104.12","124.58","2,256,212"
02/23/2022,"121.22","123.36","114.28","114.87","1,348,252"
02/22/2022,"118.20","123.33","114.19","118.06","1,539,113"
02/18/2022,"124.20","125.65","118.13","121.53","1,553,539"
02/17/2022,"126.77","130.85","122.22","123.41","1,564,104"
02/16/2022,"124.43","132.85","123.92","128.33","2,001,931"
02/15/2022,"120.96","127.23","119.26","126.16","1,980,089"
02/14/2022,"122.93","125.50","116.15","117.09","2,275,676"
02/11/2022,"122.48","129.87","120.77","124.25","2,824,777"
02/10/2022,"117.95","131.78","116.00","122.47","3,706,537"
02/09/2022,"114.09","124.71","113.00","124.29","3,866,895"
02/08/2022,"101.76","117.67","100.55","115.60","4,959,906"
02/07/2022,"102.99","105.38","98.77","102.34","1,759,360"
